code_prefix,item_number,code_suffix,product_type_name,product,size,category,item_description,item_class_code,jpeg,raw_image
"",24350,"","","""PEAS YELLOW""",50,"sINGLE SEED","""PEAS YELLOW 50#""",SINGLE,"",""
"",24450,"","","","","","SPLIT GREEN PEAS 50#",SINGLE,"",""
"",25950,"","","","","","""RICE BROWN 50#""",SINGLE,"",""
"",26065,"","","","","","""PEPPERS S-4  55#""",SINGLE,"",""
"",26155,"","","","","","""PEPPERS S-9  DUNDICUT 55#""",SINGLE,"",""
"",27025,"","","","","","PINE NUTS 25#",SINGLE,"",""
"",27050,"","",PINENUTS,50,"SINGLE SEED","PINE NUTS 50#",SINGLE,"",""
"",27051,"","",PINENUTS,6/1,"SINGLE SEED","","","",""
"",28025,"","","","","","POPCORN YELLOW 25#",SINGLE,"",""
"",28050,"","",POPCORN,50,"SINGLE SEED","""POPCORN YELLOW 50#""",SINGLE,"",""
"",30025,"","","PUMPKIN SEED",25,"SINGLE SEED","PUMPKIN SEED  WHITE 25#",SINGLE,"",""
"",30025,"","","PUMPKIN SEED",25,"SINGLE SEED","PUMPKIN SEED  WHITE 25#",SINGLE,"",""
"",30050,"","","PUMPKIN SEED",55,"SINGLE SEED","PUMPKIN SEED  WHITE 55#",SINGLE,"",""
"",30050,"","","PUMPKIN SEED",55,"SINGLE SEED","PUMPKIN SEED  WHITE 55#",SINGLE,"",""
"",31020,"","","AVIARY MIX",20#,"PREMIUM  VALUE  ","VK PREMIUM VALUE AVIARY MIX 20#","VK PREM",https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789310201.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789310201+raw.nef
"",31025,"","","","","","CANOLA RAPE SEED 25#",SINGLE,"",""
"",31040,"","","AVIARY MIX",40#,"PREMIUM  VALUE  ","VK PREMIUM VALUE AVIARY MIX 40#","VK PREM","",""
"",31050,"","","CANOLA RAPE SEED",50,"SINGLE SEED","CANOLA RAPE SEED 50#",SINGLE,"",""
"",31125,"","","","","","VETCH 25#",SINGLE,"",""
"",31150,"","",VETCH,50,"SINGLE SEED","VETCH 50#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939312506.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939312506+raw.nef
"",31250,"","","PADDY RICE",50,"RECLEANED GRAINS","""RICE PADDY 50#""",SINGLE,"",""
"",32003,"","","""SAFFLOWER WHITE""",6/3,"SINGLE SEED","SAFFLOWER SEED 6/3#",SINGLE,"",""
